# ###########
# [default parameters]
#   dict([('NL', '40'), ('NR', '2'), ('GNL', '1e-4'), ('GNR', '1e-4'), ('GS', '1.'), ('wL', '5.'), ('wR', '5.'), ('lambdaL', '0.05'), ('lambdaR', '0.'), ('QL', '1e5'), ('QR', '1e5'), ('TOscL', '5.'), ('TOscR', '5.'), ('TelL', '5.'), ('TelR', '5.'), ('muL', '-1e3'), ('muR', '-1e3'), ('ham', 'chargevib')])
# [assignments]
#   dict([('eLu', 'x'), ('eLd', 'x'), ('eRu', 'x'), ('eRd', 'x')])
# [variables]
#   ['x']
# [columns]
#   ['x', 'IL', 'IR', 'nOscL', 'nOscR', 'dotEOscL', 'dotEOscR', 'dotEelL', 'dotEelR', 'eta_L', 'eta_R', 'commL', 'commR']
# ###########
# 
2.000000e+00 5.568767e-06 5.568767e-06 5.816841e-01 2.689414e-01 -7.192965e-08 5.149209e-13 3.838506e-08 3.354407e-08 -2.583324e-03 1.849317e-08 1.000000e+00 4.621172e-01
2.001400e+00 5.561943e-06 5.561943e-06 5.816823e-01 2.689414e-01 -7.239315e-08 3.238404e-13 3.863206e-08 3.376077e-08 -2.603160e-03 1.164487e-08 1.000000e+00 4.621172e-01
2.002800e+00 5.555132e-06 5.555132e-06 5.816803e-01 2.689414e-01 -7.286136e-08 6.866958e-14 3.888153e-08 3.397976e-08 -2.623209e-03 2.472293e-09 1.000000e+00 4.621172e-01
2.004200e+00 5.548334e-06 5.548334e-06 5.816784e-01 2.689414e-01 -7.333494e-08 3.557014e-13 3.913350e-08 3.420109e-08 -2.643494e-03 1.282192e-08 1.000000e+00 4.621172e-01
2.005600e+00 5.541550e-06 5.541550e-06 5.816765e-01 2.689414e-01 -7.381337e-08 5.909504e-13 3.938801e-08 3.442477e-08 -2.663998e-03 2.132799e-08 1.000000e+00 4.621172e-01
2.007000e+00 5.534778e-06 5.534778e-06 5.816745e-01 2.689414e-01 -7.429612e-08 1.699443e-13 3.964509e-08 3.465086e-08 -2.684701e-03 6.140960e-09 1.000000e+00 4.621172e-01
2.008400e+00 5.528020e-06 5.528020e-06 5.816725e-01 2.689414e-01 -7.478417e-08 2.098620e-14 3.990478e-08 3.487937e-08 -2.705641e-03 7.592664e-10 1.000000e+00 4.621172e-01
2.009800e+00 5.521275e-06 5.521275e-06 5.816705e-01 2.689414e-01 -7.527760e-08 1.292547e-13 4.016711e-08 3.511036e-08 -2.726820e-03 4.682059e-09 1.000000e+00 4.621172e-01
2.011200e+00 5.514542e-06 5.514542e-06 5.816685e-01 2.689414e-01 -7.577600e-08 2.541833e-14 4.043213e-08 3.534384e-08 -2.748224e-03 9.218653e-10 1.000000e+00 4.621172e-01
2.012600e+00 5.507824e-06 5.507824e-06 5.816665e-01 2.689414e-01 -7.627973e-08 5.227576e-15 4.069987e-08 3.557986e-08 -2.769868e-03 1.898237e-10 1.000000e+00 4.621172e-01
