# ###########
# [default parameters]
#   dict([('NL', '20'), ('NR', '25'), ('GNL', '1e-4'), ('GNR', '1e-4'), ('GS', '1.'), ('wL', '5.'), ('wR', '3.'), ('lambdaL', '0.05'), ('lambdaR', '0.05'), ('QL', '1e5'), ('QR', '1e5'), ('TOscL', '5.'), ('TOscR', '5.'), ('TelL', '5.'), ('TelR', '5.'), ('muL', '-1e3'), ('muR', '-1e3'), ('ham', 'chargevib')])
# [assignments]
#   dict([('eLu', 'x'), ('eLd', 'x'), ('eRu', 'x'), ('eRd', 'x')])
# [variables]
#   ['x']
# [columns]
#   ['x', 'IL', 'IR', 'nOscL', 'nOscR', 'dotEOscL', 'dotEOscR', 'dotEelL', 'dotEelR', 'eta_L', 'eta_R', 'eta_NL', 'commL', 'commR']
# ###########
# 
7.060000e-01 2.514709e-05 2.514709e-05 5.799559e-01 1.218506e+00 -5.095788e-07 1.939450e-07 1.459342e-07 1.696996e-07 -4.052785e-03 2.570808e-03 -0.012589353 9.999999e-01 9.999937e-01
7.060120e-01 2.514731e-05 2.514731e-05 5.799397e-01 1.218531e+00 -5.136298e-07 1.961880e-07 1.468383e-07 1.706035e-07 -4.084969e-03 2.600518e-03 -0.01270188 9.999999e-01 9.999937e-01
7.060240e-01 2.514753e-05 2.514753e-05 5.799175e-01 1.218573e+00 -5.191956e-07 1.999215e-07 1.477543e-07 1.715197e-07 -4.129198e-03 2.649983e-03 -0.012868173 9.999999e-01 9.999937e-01
7.060360e-01 2.514776e-05 2.514776e-05 5.798969e-01 1.218609e+00 -5.243348e-07 2.032031e-07 1.486831e-07 1.724486e-07 -4.170032e-03 2.693455e-03 -0.013018734 9.999999e-01 9.999937e-01
7.060480e-01 2.514800e-05 2.514800e-05 5.799524e-01 1.218434e+00 -5.104732e-07 1.874587e-07 1.496275e-07 1.733869e-07 -4.059751e-03 2.484740e-03 -0.012488841 9.999999e-01 9.999937e-01
7.060600e-01 2.514825e-05 2.514825e-05 5.798603e-01 1.218668e+00 -5.334768e-07 2.085520e-07 1.505798e-07 1.743450e-07 -4.242656e-03 2.764302e-03 -0.013277781 9.999999e-01 9.999937e-01
7.060720e-01 2.514851e-05 2.514851e-05 5.798466e-01 1.218685e+00 -5.369130e-07 2.100518e-07 1.515483e-07 1.753129e-07 -4.269939e-03 2.784152e-03 -0.013365963 9.999999e-01 9.999937e-01
7.060840e-01 2.514878e-05 2.514878e-05 5.799225e-01 1.218453e+00 -5.179354e-07 1.891110e-07 1.525338e-07 1.762906e-07 -4.118970e-03 2.506563e-03 -0.012651543 9.999999e-01 9.999937e-01
7.060960e-01 2.514906e-05 2.514906e-05 5.798130e-01 1.218735e+00 -5.453096e-07 2.144935e-07 1.535261e-07 1.772900e-07 -4.336621e-03 2.842963e-03 -0.0135954 9.999999e-01 9.999937e-01
7.061080e-01 2.514935e-05 2.514935e-05 5.799090e-01 1.218446e+00 -5.213215e-07 1.884864e-07 1.545404e-07 1.782947e-07 -4.145805e-03 2.498228e-03 -0.012700665 9.999999e-01 9.999937e-01
