# ###########
# [default parameters]
#   dict([('NL', '15'), ('NR', '15'), ('GNL', '1e-4'), ('GNR', '1e-4'), ('GS', '1.'), ('wL', '5.'), ('wR', '3.'), ('lambdaL', '0.05'), ('lambdaR', '0.05'), ('QL', '1e5'), ('QR', '1e5'), ('TOscL', '5.'), ('TOscR', '5.'), ('TelL', '0.'), ('TelR', '0.'), ('muL', '-1e3'), ('muR', '-1e3'), ('ham', 'chargevib')])
# [assignments]
#   dict([('eLu', 'x'), ('eLd', 'x'), ('eRu', 'x'), ('eRd', 'x')])
# [variables]
#   ['x']
# [columns]
#   ['x', 'IL', 'IR', 'IphL', 'IphR', 'nOscL', 'nOscR', 'nElL', 'nElR', 'dotEOscL', 'dotEOscR', 'dotEelL', 'dotEelR', 'eta', 'commL', 'commR']
# ###########
# 
-4.000000e+00 1.518008e-06 1.518008e-06 2.049108e-09 2.358158e-09 5.820122e-01 1.214593e+00 1.518008e-02 1.518008e-02 1.034552e-08 6.955656e-09 -8.380654e-09 -8.920525e-09 -1.116551e-06 9.999921e-01 9.984773e-01
-3.997714e+00 1.519756e-06 1.519756e-06 2.084962e-09 2.472176e-09 5.820129e-01 1.214597e+00 1.519756e-02 1.519756e-02 1.052546e-08 7.297212e-09 -8.640480e-09 -9.182187e-09 -1.062093e-06 9.999921e-01 9.984772e-01
-3.995429e+00 1.521514e-06 1.521514e-06 2.168865e-09 2.525752e-09 5.820145e-01 1.214598e+00 1.521514e-02 1.521514e-02 1.094558e-08 7.457325e-09 -8.929674e-09 -9.473232e-09 -1.146311e-06 9.999921e-01 9.984772e-01
-3.993143e+00 1.523283e-06 1.523283e-06 2.284500e-09 2.549316e-09 5.820168e-01 1.214599e+00 1.523283e-02 1.523283e-02 1.152430e-08 7.527258e-09 -9.253067e-09 -9.798492e-09 -1.311982e-06 9.999921e-01 9.984772e-01
-3.990857e+00 1.525066e-06 1.525066e-06 2.321657e-09 2.730483e-09 5.820176e-01 1.214605e+00 1.525066e-02 1.525066e-02 1.171054e-08 8.069824e-09 -9.616532e-09 -1.016383e-08 -1.193627e-06 9.999921e-01 9.984771e-01
-3.988571e+00 1.526862e-06 1.526862e-06 2.473787e-09 2.751644e-09 5.820206e-01 1.214606e+00 1.526862e-02 1.526862e-02 1.247153e-08 8.132146e-09 -1.002724e-08 -1.057644e-08 -1.421013e-06 9.999921e-01 9.984771e-01
-3.986286e+00 1.528675e-06 1.528675e-06 2.570098e-09 2.903396e-09 5.820225e-01 1.214611e+00 1.528675e-02 1.528675e-02 1.295327e-08 8.585957e-09 -1.049406e-08 -1.104517e-08 -1.428464e-06 9.999921e-01 9.984770e-01
-3.984000e+00 1.530508e-06 1.530508e-06 2.720301e-09 3.010295e-09 5.820255e-01 1.214614e+00 1.530508e-02 1.530508e-02 1.370427e-08 8.904838e-09 -1.102803e-08 -1.158108e-08 -1.567921e-06 9.999921e-01 9.984770e-01
-3.981714e+00 1.532364e-06 1.532364e-06 2.880045e-09 3.155585e-09 5.820287e-01 1.214619e+00 1.532364e-02 1.532364e-02 1.450271e-08 9.338415e-09 -1.164306e-08 -1.219807e-08 -1.685074e-06 9.999921e-01 9.984769e-01
-3.979429e+00 1.534246e-06 1.534246e-06 3.022286e-09 3.396218e-09 5.820316e-01 1.214627e+00 1.534246e-02 1.534246e-02 1.521328e-08 1.005739e-08 -1.235684e-08 -1.291383e-08 -1.680267e-06 9.999921e-01 9.984769e-01
